"templateId","pokemonId","type","type2","form","candyToEvolve","kmBuddyDistance","purificationStardustNeeded","baseStamina","baseAttack","baseDefense"
"V0001_POKEMON_BULBASAUR","BULBASAUR","POKEMON_TYPE_GRASS","POKEMON_TYPE_POISON",,25,3.0,3000,128,118,111
"V0001_POKEMON_BULBASAUR_FALL_2019","BULBASAUR","POKEMON_TYPE_GRASS","POKEMON_TYPE_POISON","BULBASAUR_FALL_2019",,3.0,3000,128,118,111
"V0001_POKEMON_BULBASAUR_NORMAL","BULBASAUR","POKEMON_TYPE_GRASS","POKEMON_TYPE_POISON","BULBASAUR_NORMAL",25,3.0,3000,128,118,111
"V0002_POKEMON_IVYSAUR","IVYSAUR","POKEMON_TYPE_GRASS","POKEMON_TYPE_POISON",,100,3.0,3000,155,151,143
"V0002_POKEMON_IVYSAUR_NORMAL","IVYSAUR","POKEMON_TYPE_GRASS","POKEMON_TYPE_POISON","IVYSAUR_NORMAL",100,3.0,3000,155,151,143
"V0003_POKEMON_VENUSAUR","VENUSAUR","POKEMON_TYPE_GRASS","POKEMON_TYPE_POISON",,,3.0,3000,190,198,189
"V0003_POKEMON_VENUSAUR_COPY_2019","VENUSAUR","POKEMON_TYPE_GRASS","POKEMON_TYPE_POISON","VENUSAUR_COPY_2019",,3.0,3000,190,198,189
"V0003_POKEMON_VENUSAUR_NORMAL","VENUSAUR","POKEMON_TYPE_GRASS","POKEMON_TYPE_POISON","VENUSAUR_NORMAL",,3.0,3000,190,198,189
"V0004_POKEMON_CHARMANDER","CHARMANDER","POKEMON_TYPE_FIRE",,,25,3.0,3000,118,116,93
"V0004_POKEMON_CHARMANDER_FALL_2019","CHARMANDER","POKEMON_TYPE_FIRE",,"CHARMANDER_FALL_2019",,3.0,3000,118,116,93
"V0004_POKEMON_CHARMANDER_NORMAL","CHARMANDER","POKEMON_TYPE_FIRE",,"CHARMANDER_NORMAL",25,3.0,3000,118,116,93
"V0005_POKEMON_CHARMELEON","CHARMELEON","POKEMON_TYPE_FIRE",,,100,3.0,3000,151,158,126
"V0005_POKEMON_CHARMELEON_NORMAL","CHARMELEON","POKEMON_TYPE_FIRE",,"CHARMELEON_NORMAL",100,3.0,3000,151,158,126
"V0006_POKEMON_CHARIZARD","CHARIZARD","POKEMON_TYPE_FIRE","POKEMON_TYPE_FLYING",,,3.0,3000,186,223,173
"V0006_POKEMON_CHARIZARD_COPY_2019","CHARIZARD","POKEMON_TYPE_FIRE","POKEMON_TYPE_FLYING","CHARIZARD_COPY_2019",,3.0,3000,186,223,173
"V0006_POKEMON_CHARIZARD_NORMAL","CHARIZARD","POKEMON_TYPE_FIRE","POKEMON_TYPE_FLYING","CHARIZARD_NORMAL",,3.0,3000,186,223,173
"V0007_POKEMON_SQUIRTLE","SQUIRTLE","POKEMON_TYPE_WATER",,,25,3.0,3000,127,94,121
"V0007_POKEMON_SQUIRTLE_FALL_2019","SQUIRTLE","POKEMON_TYPE_WATER",,"SQUIRTLE_FALL_2019",,3.0,3000,127,94,121
"V0007_POKEMON_SQUIRTLE_NORMAL","SQUIRTLE","POKEMON_TYPE_WATER",,"SQUIRTLE_NORMAL",25,3.0,3000,127,94,121
"V0008_POKEMON_WARTORTLE","WARTORTLE","POKEMON_TYPE_WATER",,,100,3.0,3000,153,126,155
"V0008_POKEMON_WARTORTLE_NORMAL","WARTORTLE","POKEMON_TYPE_WATER",,"WARTORTLE_NORMAL",100,3.0,3000,153,126,155
"V0009_POKEMON_BLASTOISE","BLASTOISE","POKEMON_TYPE_WATER",,,,3.0,3000,188,171,207
"V0009_POKEMON_BLASTOISE_COPY_2019","BLASTOISE","POKEMON_TYPE_WATER",,"BLASTOISE_COPY_2019",,3.0,3000,188,171,207
"V0009_POKEMON_BLASTOISE_NORMAL","BLASTOISE","POKEMON_TYPE_WATER",,"BLASTOISE_NORMAL",,3.0,3000,188,171,207
"V0010_POKEMON_CATERPIE","CATERPIE","POKEMON_TYPE_BUG",,,12,1.0,1000,128,55,55
"V0011_POKEMON_METAPOD","METAPOD","POKEMON_TYPE_BUG",,,50,1.0,1000,137,45,80
"V0012_POKEMON_BUTTERFREE","BUTTERFREE","POKEMON_TYPE_BUG","POKEMON_TYPE_FLYING",,,1.0,1000,155,167,137
"V0013_POKEMON_WEEDLE","WEEDLE","POKEMON_TYPE_BUG","POKEMON_TYPE_POISON",,12,1.0,1000,120,63,50
"V0013_POKEMON_WEEDLE_NORMAL","WEEDLE","POKEMON_TYPE_BUG","POKEMON_TYPE_POISON","WEEDLE_NORMAL",12,1.0,1000,120,63,50
"V0014_POKEMON_KAKUNA","KAKUNA","POKEMON_TYPE_BUG","POKEMON_TYPE_POISON",,50,1.0,1000,128,46,75
"V0014_POKEMON_KAKUNA_NORMAL","KAKUNA","POKEMON_TYPE_BUG","POKEMON_TYPE_POISON","KAKUNA_NORMAL",50,1.0,1000,128,46,75
"V0015_POKEMON_BEEDRILL","BEEDRILL","POKEMON_TYPE_BUG","POKEMON_TYPE_POISON",,,1.0,1000,163,169,130
"V0015_POKEMON_BEEDRILL_NORMAL","BEEDRILL","POKEMON_TYPE_BUG","POKEMON_TYPE_POISON","BEEDRILL_NORMAL",,1.0,1000,163,169,130
"V0016_POKEMON_PIDGEY","PIDGEY","POKEMON_TYPE_NORMAL","POKEMON_TYPE_FLYING",,12,1.0,1000,120,85,73
"V0017_POKEMON_PIDGEOTTO","PIDGEOTTO","POKEMON_TYPE_NORMAL","POKEMON_TYPE_FLYING",,50,1.0,1000,160,117,105
"V0018_POKEMON_PIDGEOT","PIDGEOT","POKEMON_TYPE_NORMAL","POKEMON_TYPE_FLYING",,,1.0,1000,195,166,154
"V0019_POKEMON_RATTATA","RATTATA","POKEMON_TYPE_NORMAL",,,25,1.0,1000,102,103,70
"V0019_POKEMON_RATTATA_ALOLA","RATTATA","POKEMON_TYPE_DARK","POKEMON_TYPE_NORMAL","RATTATA_ALOLA",25,1.0,1000,102,103,70
"V0019_POKEMON_RATTATA_NORMAL","RATTATA","POKEMON_TYPE_NORMAL",,"RATTATA_NORMAL",25,1.0,1000,102,103,70
"V0020_POKEMON_RATICATE","RATICATE","POKEMON_TYPE_NORMAL",,,,1.0,1000,146,161,139
"V0020_POKEMON_RATICATE_ALOLA","RATICATE","POKEMON_TYPE_DARK","POKEMON_TYPE_NORMAL","RATICATE_ALOLA",,1.0,1000,181,135,154
"V0020_POKEMON_RATICATE_NORMAL","RATICATE","POKEMON_TYPE_NORMAL",,"RATICATE_NORMAL",,1.0,1000,146,161,139
"V0021_POKEMON_SPEAROW","SPEAROW","POKEMON_TYPE_NORMAL","POKEMON_TYPE_FLYING",,50,1.0,,120,112,60
"V0022_POKEMON_FEAROW","FEAROW","POKEMON_TYPE_NORMAL","POKEMON_TYPE_FLYING",,,1.0,,163,182,133
"V0023_POKEMON_EKANS","EKANS","POKEMON_TYPE_POISON",,,50,3.0,3000,111,110,97
"V0023_POKEMON_EKANS_NORMAL","EKANS","POKEMON_TYPE_POISON",,"EKANS_NORMAL",50,3.0,3000,111,110,97
"V0024_POKEMON_ARBOK","ARBOK","POKEMON_TYPE_POISON",,,,3.0,3000,155,167,153
